text,intent,slot
can you run conda activate ty for the dbms lab.,run_command,conda activate
yo next song when you can,next_song,
please quit whatsapp,close_app,WhatsApp
plz show clipboard history right now!!,clipboard_history,
quickly turn the volume up thanks for the dbms lab,volume_up,
please sleep now lol!!,sleep_pc,
bro set up a folder for IEEE when you can,create_folder,IEEE
bro locate index.txt ty!,search_file,index.txt
"actually, set up a folder for pictures right now",create_folder,Pictures
can you move syllabus.docx.,move_file,syllabus.docx
"ACTUALLY, TURN OFF MY COMPUTER REAL QUICK!",shutdown_pc,
hey shutdown before close Premiere Pro for me,multi_intent,Premiere Pro
"okay, I like PyCharm thanks",general_chat,
would you duplicate index.json real quick,copy_file,index.json
could you turn the volume up real quick??,volume_up,
plz visit google.com,open_url,google.com
can you run docker compose up real quick so I can browse,run_command,docker compose up
can you skip this song asap.,next_song,
could you delete script.md please,delete_file,script.md
"um, move script.js to desktop ty",move_file,script.js
kindly execute git pull when you can.,run_command,git pull
"ok, look up best laptops 2026 real quick??",search_web,best laptops 2026
yo rename the downloads folder when you can!!,rename_folder,Downloads
please set up a folder for Desktop lol for the DBMS lab,create_folder,Desktop
yo duplicate notes_final.js for me,copy_file,notes_final.js
CAN YOU SHUTDOWN THEN CLOSE POWERPOINT TY...,multi_intent,PowerPoint
could you exit Teams right now so I can browse,close_app,Teams
plz make it louder asap??,volume_up,
could you move Dockerfile.xlsx to Desktop for me??,move_file,Dockerfile.xlsx
quickly rename invoice.docx to newname if possible for the dbms lab,rename_file,invoice.docx
can you find resume_final.md for me now,search_file,resume_final.md
yo screenshot this please,take_screenshot,
cAn You FINd rESUmE_LAtEst.pPTx fOR Me RigHt nOw,search_file,resume_latest.pptx
please execute git pull real quick,run_command,git pull
"ok, mute the sound if possible!",mute,
could you duplicate timetable.xlsx asap,copy_file,timetable.xlsx
open weather app.,open_project,Weather App
Can yOu OpEN afTER EFFECTS AnD tHEN RUn GIt FEtCH aSaP,multi_intent,After Effects;git fetch
"actually, increase volume now.",volume_up,
yo shut down vscode ty,close_app,Visual Studio Code
kindly look up next.js tutorial when you can,search_web,next.js tutorial
yo rename final_report to newname asap,rename_file,final_report
could you open File Explorer and run git commit,multi_intent,File Explorer;git commit
rename presentation_draft.pptx to newname please,rename_file,presentation_draft.pptx
kindly unpause it if possible.,resume_music,
could you trash the pictures folder now,delete_folder,Pictures
"so, boot Figma now.",open_app,Figma
plz lower the brightness,brightness_down,
PLEASE SIGN OUT LOL,logout,
quickly shutdown now.,shutdown_pc,
please search for python vs javascript??,search_web,python vs javascript
open After Effects please now,open_app,After Effects
could you trash the react folder ty,delete_folder,React
hey new folder ieee!,create_folder,IEEE
delete folder react lol,delete_folder,React
"okay, pull up HackArena project thanks",open_project,HackArena
pls volume up real quick!!,volume_up,
quickly show clipboard history now!,clipboard_history,
"so, unpause it ty",resume_music,
"so, quit firefox real quick",close_app,Firefox
bro let's work on weather app lol??,open_project,Weather App
hey delete folder resume thanks!,delete_folder,Resume
kindly play the last song please.,previous_song,
can you rename os_lab.md,rename_file,os_lab.md
"ok, copy config.md please!",copy_file,config.md
hey launch PyCharm and then launch CLion if possible,multi_intent,PyCharm;CLion
can you rename resume_final.html,rename_file,resume_final.html
can you close File Explorer for me it's lagging.,close_app,File Explorer
"ok, visit google.com for me",open_url,google.com
"okay, where is todo_list.docx thanks",search_file,todo_list.docx
bro show clipboard history for today's work,clipboard_history,
"so, move package.py to Desktop real quick",move_file,package.py
can you go to github.com lol,open_url,github.com
yo open the site chatgpt.com asap,open_url,chatgpt.com
WOULD YOU DUPLICATE SHOPPING_LIST.XLSX,copy_file,shopping_list.xlsx
kindly rename folder Desktop right now,rename_folder,Desktop
"uh, pause the song lol??",pause_music,
please delete style.md real quick,delete_file,style.md
plz empty the recycle bin asap,empty_recycle_bin,
CAN YOU RENAME OS_LAB.TXT PLEASE!,rename_file,os_lab.txt
can you create a folder named Screenshots please,create_folder,Screenshots
"ok, search for invoice for me??",search_file,invoice
yo close IntelliJ right now,close_app,IntelliJ
can you take me to settings ty for the dbms lab,open_settings,
can you move budget.md lol!!,move_file,budget.md
"so, take me to youtube.com i forgot where it is",open_url,youtube.com
"ok, dUPlICATE shOpPInG_LIst.JSOn thAnks!!",copy_file,shopping_list.json
"ok, sleep mode lol",sleep_pc,
start project ParcelVision lol,open_project,ParcelVision
could you play a song right now,play_music,
hey create directory AI if possible because I need Gmail,create_folder,AI
pls find file app right now,search_file,app
"okay, trash resume.docx ty",delete_file,resume.docx
"uh, go to gmail.com if possible",open_url,gmail.com
can you rename notes.docx lol,rename_file,notes.docx
"uh, shut down File Explorer real quick",close_app,File Explorer
"okay, how does calculator app work lol",general_chat,
would you open my ChatBot project real quick!,open_project,ChatBot
reboot the pc right now!,restart_pc,
quickly next song.,next_song,
"ok, rename app.md to newname please I forgot where it is",rename_file,app.md
kindly delete script.md if possible for today's work.,delete_file,script.md
"okay, take a screenshot real quick",take_screenshot,
"actually, rename the file license.md thanks",rename_file,LICENSE.md
kindly what is Calculator App asap,general_chat,
"uh, move shopping_list.md to another folder real quick!!",move_file,shopping_list.md
would you copy package.docx,copy_file,package.docx
can you move index.txt ty??,move_file,index.txt
can you run git push real quick,run_command,git push
kindly skip this song when you can...,next_song,
rename the photos folder real quick before the meeting,rename_folder,Photos
bro duplicate project_proposal.css please,copy_file,project_proposal.css
please visit youtube.com ty,open_url,youtube.com
yo delete cover_letter.py when you can,delete_file,cover_letter.py
"actually, find index.txt before open it right now",multi_intent,index.txt
plz find file draft.txt for me!,search_file,draft.txt
please search the web for best laptops 2026 asap,search_web,best laptops 2026
"UH, I'D LIKE TO OPEN ORIGIN THANKS",open_app,Origin
would you rename the Videos folder thanks,rename_folder,Videos
PLEASE COPY PACKAGE.DOCX,copy_file,package.docx
yo open my recipe app project,open_project,Recipe App
"okay, make a folder called Videos.",create_folder,Videos
open Battle.net please right now!!,open_app,Battle.net
hey trash the hackathon folder if possible,delete_folder,Hackathon
quickly open project Blog Site,open_project,Blog Site
can you rename shopping_list real quick??,rename_file,shopping_list
could you unpause it so i can browse!,resume_music,
"okay, open Figma, run npm run dev",multi_intent,Figma;npm run dev
kindly make a copy of main.md now,copy_file,main.md
can you rename script.html real quick,rename_file,script.html
"So, neXt Song ReAl QUICK!",next_song,
can you next song when you can??,next_song,
can you set up a folder for dbms when you can,create_folder,DBMS
yo rename the archive folder lol,rename_folder,Archive
plz switch to my compiler project project now,open_project,Compiler Project
hEY start pRoJeCT HAbIt TrACKer fOr mE!,open_project,Habit Tracker
yo previous song thanks,previous_song,
"UM, oPeN sTaCKoVerfLoW.CoM rIGHt NOW!!",open_url,stackoverflow.com
"um, duplicate shopping_list.json!!",copy_file,shopping_list.json
"uh, look up cheap flights to goa",search_web,cheap flights to goa
"so, start project finskin ty",open_project,FinSkin
"okay, find LICENSE.docx, open it!",multi_intent,LICENSE.docx
"Um, puLl Up aSSigNMEnt2.Pdf!",search_file,assignment2.pdf
would you resume music thanks so i can browse...,resume_music,
"ok, tell me a joke right now",general_chat,
yo terminate Firefox please,close_app,Firefox
"uh, lock my pc lol",lock_pc,
"so, make a folder called OS",create_folder,OS
plz make a copy of utils.txt if possible,copy_file,utils.txt
would you visit leetcode.com thanks so I can browse,open_url,leetcode.com
"ok, run code .",run_command,code .
"actually, rename the dbms folder",rename_folder,DBMS
"um, open brave now!!",open_app,Brave
"uh, reboot the pc right now",restart_pc,
can you look up how to center a div please,search_web,how to center a div
yo rename the Internship folder please I need it urgently.,rename_folder,Internship
please shutdown and then close Lightroom real quick??,multi_intent,Lightroom
trash the Hackathon folder real quick it's lagging!!,delete_folder,Hackathon
bro rename the screenshots folder for me,rename_folder,Screenshots
could you rename the Internship folder if possible,rename_folder,Internship
please sleep now for today's work,sleep_pc,
hey do we have a file called test_cases.js please,search_file,test_cases.js
bro get rid of the backup folder for me,delete_folder,Backup
BRo clOsE DoWn FilE eXpLOreR fOr ME I NeEd iT URgENtlY.,close_app,File Explorer
pLS lOck iT whEN YOU cAN!,lock_pc,
please quit WhatsApp please??,close_app,WhatsApp
launch project finskin for me i forgot where it is,open_project,FinSkin
pls lower the volume right now,volume_down,
"actually, sleep now please",sleep_pc,
bro close Atom before open WebStorm now!!,multi_intent,Atom;WebStorm
quickly play the next track real quick,next_song,
DUPLICATE PACKAGE.PY FOR ME!,copy_file,package.py
plz find draft.py after open it ty!!,multi_intent,draft.py
"okay, remove folder Work!!",delete_folder,Work
hey get rid of the Music folder for me,delete_folder,Music
yo open gmail.com when you can I need it urgently,open_url,gmail.com
plz search for python vs javascript.,search_web,python vs javascript
please google how to center a div real quick...,search_web,how to center a div
"so, create folder pictures after open it right now",multi_intent,Pictures
"so, play the last song please",previous_song,
"okay, quit Firefox thanks before the meeting",close_app,Firefox
"uh, make a copy of style.pdf right now",copy_file,style.pdf
CAN YOU VISIT STACKOVERFLOW.COM REAL QUICK,open_url,stackoverflow.com
plz delete folder Screenshots thanks,delete_folder,Screenshots
quickly open Minecraft Launcher and run npm test.,multi_intent,Minecraft Launcher;npm test
hey copy LICENSE.txt??,copy_file,LICENSE.txt
hey lock now if possible.,lock_pc,
can you run git pull please,run_command,git pull
would you thank you if possible!,general_chat,
bro make folder Projects ty,create_folder,Projects
bro kill telegram thanks.,close_app,Telegram
"uh, delete lab_manual.docx for today's assignment",delete_file,lab_manual.docx
"um, make it quieter for me!!",volume_down,
run command python app.py if possible??,run_command,python app.py
"okay, create directory AI please!!",create_folder,AI
"ok, close google sheets after open clion ty!",multi_intent,Google Sheets;CLion
could you shut down the pc when you can!,shutdown_pc,
"actually, delete package.css right now",delete_file,package.css
open clipboard manager when you can...,clipboard_history,
can you google best laptops 2026 now,search_web,best laptops 2026
"uh, remove folder React now",delete_folder,React
rename the Games folder lol!!,rename_folder,Games
quickly run code . when you can!,run_command,code .
PLEASE TRASH THE REACT FOLDER THANKS,delete_folder,React
plz find package.css and then open it asap,multi_intent,package.css
"okay, what tech stack did I use for Figma real quick!!",general_chat,
"uh, Calculator crashed on me yesterday please",general_chat,
yo duplicate dbms_notes.txt when you can,copy_file,dbms_notes.txt
could you unmute it please,unmute,
please execute docker compose up please because I need Gmail!,run_command,docker compose up
please get rid of the Pictures folder asap,delete_folder,Pictures
"ok, run command docker compose up lol.",run_command,docker compose up
plz look up next.js tutorial lol.,search_web,next.js tutorial
quickly open project FinSkin and then run flask run please!,multi_intent,FinSkin;flask run
please rename the file style.pptx ty,rename_file,style.pptx
"ok, make a copy of summary.js",copy_file,summary.js
hey next song when you can,next_song,
bro google how to center a div now,search_web,how to center a div
"ok, delete lab_manual.css right now",delete_file,lab_manual.css
"OKAY, RESTART MY COMPUTER THANKS.",restart_pc,
"okay, skip this song when you can",next_song,
can you take me to leetcode.com real quick!!,open_url,leetcode.com
"uh, google cheap flights to goa please for today's work",search_web,cheap flights to goa
"so, do we have a file called final_report",search_file,final_report
"uh, look up weather bengaluru when you can",search_web,weather bengaluru
move draft.pdf to desktop ty.,move_file,draft.pdf
hey play the last song if possible.,previous_song,
hey sleep mode if possible,sleep_pc,
please run python main.py real quick,run_command,python main.py
"SO, PLAY MUSIC",play_music,
"actually, rename the file ppt_final.docx right now",rename_file,ppt_final.docx
"actually, open project ChatBot and then run git fetch if possible",multi_intent,ChatBot;git fetch
delete cover_letter.py if possible,delete_file,cover_letter.py
execute command pip install when you can??,run_command,pip install
resume music for me??,resume_music,
CAn YoU reBOot NoW PLease bEcaUsE I NEed gmail.,restart_pc,
quickly where is draft.json now,search_file,draft.json
can you execute pip install real quick!!,run_command,pip install
plz find file invoice_2026.md thanks,search_file,invoice_2026.md
"UH, POWER OFF RIGHT NOW",shutdown_pc,
"AcTUalLY, opEN PRoJeCT ConTRacTpulse bEfORe rUn ConDa ACtIvAte ASap",multi_intent,ContractPulse;conda activate
can you go to linkedin.com thanks!!,open_url,linkedin.com
"ok, take me to gmail.com!",open_url,gmail.com
"so, open leetcode.com",open_url,leetcode.com
please look up how to center a div now,search_web,how to center a div
yo make a copy of config.js,copy_file,config.js
plz rename folder portfolio when you can??,rename_folder,Portfolio
could you search the web for weather bengaluru now,search_web,weather bengaluru
bro unpause it when you can it's lagging,resume_music,
open Outlook please if possible,open_app,Outlook
please create folder Vacation if possible,create_folder,Vacation
plz rename folder Pictures for me.,rename_folder,Pictures
"um, get rid of the file config.html thanks",delete_file,config.html
could you what do you think of outlook for me,general_chat,
"uh, trash the School folder!!",delete_folder,School
"actually, unmute lol.",unmute,
please power off real quick,shutdown_pc,
can you move resume.css.,move_file,resume.css
plz sleep now real quick,sleep_pc,
kindly delete folder Backup ty,delete_folder,Backup
plz locate test_cases.txt please.,search_file,test_cases.txt
"uh, get rid of the Java folder when you can!!",delete_folder,Java
"okay, create directory OS asap",create_folder,OS
"so, new folder IEEE if possible.",create_folder,IEEE
PLEASE BANANA POTATO TY!!,unknown,
"um, execute command git fetch when you can",run_command,git fetch
yo lock it if possible.,lock_pc,
please screenshot this please,take_screenshot,
quickly switch to my Chat App project if possible,open_project,Chat App
"ok, where is os_lab.docx please",search_file,os_lab.docx
increase brightness real quick for today's assignment,brightness_up,
quickly continue playing thanks.,resume_music,
"ok, turn sound back on lol for today's work",unmute,
"so, pause it when you can",pause_music,
"so, clear trash real quick",empty_recycle_bin,
bro open my FinSkin project if possible...,open_project,FinSkin
yo volume down now.,volume_down,
yo empty the recycle bin lol...,empty_recycle_bin,
cOULd you geT Rid OF thE filE InVoicE.JsON Now,delete_file,invoice.json
bro copy main...,copy_file,main
"um, unpause it now",resume_music,
kindly screenshot this lol,take_screenshot,
get rid of the Images folder thanks,delete_folder,Images
"ok, new folder archive right now",create_folder,Archive
PlZ movE SyllabUs.docx tO Desktop Now,move_file,syllabus.docx
"um, ContInue pLAyiNg LOl",resume_music,
kindly go back a track!,previous_song,
can you rename test_cases to newname ty...,rename_file,test_cases
would you volume down asap,volume_down,
"uh, play music thanks.",play_music,
can you qwerty,unknown,
hey unmute thanks.,unmute,
plz reboot now real quick.,restart_pc,
WOULD YOU RENAME FOLDER SEMESTER4 BEFORE THE MEETING...,rename_folder,Semester4
pls rename the file project_proposal.md asap.,rename_file,project_proposal.md
"uh, i really like using file explorer real quick.",general_chat,
"um, open react app ty??",open_project,React App
"okay, google how to center a div ty because I need Gmail",search_web,how to center a div
pls get rid of the dbms folder,delete_folder,DBMS
"UM, OPEN OPERA",open_app,Opera
"uh, make the screen brighter!",brightness_up,
"ok, get rid of the School folder thanks.",delete_folder,School
kindly continue playing real quick.,resume_music,
"okay, shut down the pc please!",shutdown_pc,
plz duplicate notes_final.js now,copy_file,notes_final.js
"actually, trash project_proposal.json right now",delete_file,project_proposal.json
"actually, close Git Bash thanks",close_app,Git Bash
"ok, unmute if possible...",unmute,
could you rename folder React for me!,rename_folder,React
bro open ML Project when you can...,open_project,ML Project
WOULD YOU GO TO YOUTUBE.COM LOL,open_url,youtube.com
"okay, unmute it when you can",unmute,
yo kill PyCharm,close_app,PyCharm
"actually, unmute it now.",unmute,
quickly execute git add . before the meeting??,run_command,git add .
"okay, power off.",shutdown_pc,
could you turn off my computer asap,shutdown_pc,
WOULD YOU VISIT GMAIL.COM!!,open_url,gmail.com
kinDLY skip thIs SoNG wHen You can,next_song,
"so, open file timetable.js ty.",search_file,timetable.js
plz make the screen brighter asap so I can browse.,brightness_up,
"okay, lock my pc for me",lock_pc,
kindly log out of this account,logout,
"um, make it louder!!",volume_up,
would you reboot now lol,restart_pc,
yo next song right now...,next_song,
pls fire up intellij thanks.,open_app,IntelliJ
please open stackoverflow.com ty,open_url,stackoverflow.com
could you take me to settings thanks,open_settings,
"um, open powerpoint asap",open_app,PowerPoint
quickly stop Minecraft Launcher please,close_app,Minecraft Launcher
bro open google.com asap,open_url,google.com
"uh, take me to settings asap",open_settings,
CAN YOU DELETE FINAL_REPORT.MD REAL QUICK BECAUSE I NEED GMAIL,delete_file,final_report.md
"ok, google best laptops 2026 ty.",search_web,best laptops 2026
QUICKLY SHUT DOWN THE PC ASAP,shutdown_pc,
pls turn the volume down if possible!!,volume_down,
Yo oPen sYSteM sETTINgS If POssible,open_settings,
yo rename the pictures folder for me,rename_folder,Pictures
PLEASE OPEN FILE REPORT.TXT,search_file,report.txt
open Chrome Canary please if possible??,open_app,Chrome Canary
hey turn off sound ty,mute,
quickly skip this song right now,next_song,
yo remove folder ai because i need gmail,delete_folder,AI
"um, increase volume ty.",volume_up,
make the screen brighter!,brightness_up,
quickly lower the brightness,brightness_down,
YO SET UP A FOLDER FOR PHOTOS WHEN YOU CAN,create_folder,Photos
hey trash the Archive folder now it's lagging,delete_folder,Archive
"okay, Teams crashed on me yesterday",general_chat,
bro make a copy of app.json please,copy_file,app.json
please remove meeting_notes.,delete_file,meeting_notes
yo rename the file style.xlsx ty.,rename_file,style.xlsx
can you run command git fetch,run_command,git fetch
yo start command git checkout main right now,run_command,git checkout main
"actually, shutdown, close Sublime Text when you can",multi_intent,Sublime Text
would you put the pc to sleep right now,sleep_pc,
"okay, duplicate config.xlsx thanks!",copy_file,config.xlsx
quickly play the next track when you can,next_song,
please set up a folder for photos right now!,create_folder,Photos
"actually, lower the brightness thanks",brightness_down,
get Chrome Canary running for the DBMS lab,open_app,Chrome Canary
yo open the site chatgpt.com lol!,open_url,chatgpt.com
kindly pause the song lol.,pause_music,
pls delete project_proposal.html if possible,delete_file,project_proposal.html
quickly open the site youtube.com right now!!,open_url,youtube.com
"uh, play music lol.",play_music,
yo put the pc to sleep lol before the meeting,sleep_pc,
quickly empty trash now??,empty_recycle_bin,
"okay, find os_lab.pdf followed by open it please!",multi_intent,os_lab.pdf
"ok, remove folder Family for me for today's work.",delete_folder,Family
quickly move summary.txt to Desktop right now,move_file,summary.txt
bro open project Movie Recommender for me,open_project,Movie Recommender
can you good evening asap,general_chat,
can you open the Todo App project ty,open_project,Todo App
please stop PyCharm please,close_app,PyCharm
"um, open atom then run docker compose up asap.",multi_intent,Atom;docker compose up
"um, trash the Archive folder asap",delete_folder,Archive
could you remove assignment1.py right now,delete_file,assignment1.py
"okay, show clipboard history please.",clipboard_history,
"ok, next song lol!",next_song,
could you volume down when you can,volume_down,
bro open the site gmail.com right now,open_url,gmail.com
"ok, open Chrome Beta followed by open Premiere Pro lol",multi_intent,Chrome Beta;Premiere Pro
kindly find assignment2.py before open it lol.,multi_intent,assignment2.py
COULD YOU EMPTY THE RECYCLE BIN,empty_recycle_bin,
"uh, move todo.docx to desktop now.",move_file,todo.docx
"yo hey, pull up visual studio code asap??",open_app,Visual Studio Code
could you random text!!,unknown,
"so, rename the backup folder if possible",rename_folder,Backup
"ok, turn the volume down right now",volume_down,
quickly copy package.json for me,copy_file,package.json
plz search the web for how to center a div thanks,search_web,how to center a div
"ok, open project ML Project before run npm run dev asap",multi_intent,ML Project;npm run dev
